Easting,Northing,Name,T/A,Grant Number,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,Permanent Casing Diameter,Type of Pump Installed,Water Point Use,Licenced,Well Development Duration,Pump Capacity,Pump Installed Depth,Main Water Strike Depth (MBGL),DWL,Turbidity,Temp,Conductivity,pH,Alkalinity,Hardness,Calcium,Magnesium,Sodium,Potassium,Carbonate,Bicarbonate,Sulphate,Nitrate,Ammonium,Iron,Manganese,Flouride,Dissolved_Solids,Chlorine,Suspended_Solids,Facaeal,E. Coli
550322,8496866,Chimgondolo,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550322,8502668,Longwe Primary School,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550338,8497405,Kameta,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550364,8489996,Sajeni,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550372,8512563,Njati,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550379,8513070,Kaphili school,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550398,8487134,Thiwi Primary School,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550420,8488841,Nabwenje 2,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550430,8525226,Mphamba pump,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550462,8488964,Thom,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550472,8524035,Karonga,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550540,8527023,Kaundwa,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550568,8521963,Nseule,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550581,8496529,Lazaro,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550612,8526518,Chilinkholi School,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550615,8486354,Kanja,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550685,8492451,Chisepo 1,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550798,8486421,Nkhonondo 1,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550864,8495803,Mtanila,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550885,8522816,Mfungulo,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Dry well,Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550898,8492335,Chiziri CDSS,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550906,8490302,Ndalamira,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551011,8496624,Mwanza Primary School,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551039,8490063,Mwasala,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551060,8509634,Thawale,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551143,8492578,Chisepo borehore,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551251,8490083,Mononga,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551269,8492916,Kadansana 1,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551379,8512232,Manyetera,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551380,8486779,Mpaya 2,SC Chakhaza,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551462,8525269,Inje II  - BH17,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551550,8492546,Chisepo 3,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551550,8496478,Mwaza 1,SC Kayembe,,,,,Dowa,0.00001,0.00001,0.00001,Wet Well,Not-Functional,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
